year_month,ransomware,phishing,ddos,sql_injection,xss,rce,privilege_esc,data_breach,zero_day,supply_chain
2019-01,0,19,116,28,115,238,33,76,0,2
2019-02,1,2,78,26,118,131,7,25,3,1
2019-03,0,8,144,35,170,251,22,38,0,1
2019-04,1,17,173,34,121,251,43,65,0,14
2019-05,0,18,102,37,154,302,24,122,0,6
2019-06,0,12,106,51,118,382,47,66,0,2
2019-07,0,18,199,44,181,228,37,64,0,9
2019-08,1,4,104,98,442,381,48,75,0,2
2019-09,0,9,90,59,237,243,44,209,0,4
2019-10,0,6,169,75,244,275,39,69,0,4
2019-11,0,18,200,40,167,237,58,91,0,26
2019-12,0,16,143,39,147,368,34,66,0,3
2020-01,0,9,202,38,230,224,61,52,0,5
2020-02,0,10,153,42,160,321,80,59,0,2
2020-03,0,8,106,54,263,298,83,77,0,4
2020-04,0,8,173,27,225,295,88,52,0,7
2020-05,0,14,74,17,92,211,81,29,0,1
2020-06,0,14,191,28,163,356,91,134,0,3
2020-07,0,6,123,39,139,299,92,48,0,6
2020-08,1,12,90,22,138,255,82,49,0,2
2020-09,0,20,126,67,177,354,84,127,0,5
2020-10,2,11,304,25,128,431,58,69,0,2
2020-11,0,9,115,25,113,243,52,68,0,4
2020-12,1,13,169,60,190,246,45,85,0,2
2021-01,0,9,223,38,183,371,57,48,0,10
2021-02,0,10,174,41,112,352,37,46,0,3
2021-03,0,5,129,49,176,350,54,37,0,4
2021-04,0,8,274,52,177,408,51,52,0,13
2021-05,3,11,178,39,197,432,45,41,0,7
2021-06,0,13,172,65,180,363,35,89,0,5
2021-07,1,12,227,60,234,320,57,47,0,4
2021-08,0,14,285,86,304,492,50,61,0,5
2021-09,0,13,306,54,256,468,63,57,0,4
2021-10,1,16,234,59,262,344,40,67,0,6
2021-11,0,11,155,67,204,332,46,59,0,4
2021-12,0,20,128,100,224,325,52,87,0,3
2022-01,0,6,356,87,225,430,71,31,0,5
2022-02,0,7,210,71,236,456,56,56,0,8
2022-03,0,14,201,123,284,416,46,93,0,8
2022-04,0,11,186,138,249,366,88,44,0,10
2022-05,0,11,194,209,263,405,57,75,0,4
2022-06,0,7,119,309,294,362,60,62,0,6
2022-07,1,8,198,80,207,369,66,36,0,3
2022-08,0,6,175,172,212,443,85,137,0,2
2022-09,0,12,228,158,243,456,40,47,0,7
2022-10,0,8,205,113,160,387,73,64,0,7
2022-11,0,11,194,157,258,340,52,43,0,4
2022-12,0,23,243,91,268,437,37,96,0,3
2023-01,0,6,218,234,301,435,72,58,0,10
2023-02,0,10,216,159,324,456,34,84,0,5
2023-03,0,13,196,187,293,683,51,117,0,1
2023-04,1,11,273,186,342,510,68,72,0,4
2023-05,0,17,269,126,404,492,52,75,0,5
2023-06,0,33,253,112,351,497,64,123,0,8
2023-07,0,26,239,121,245,510,69,98,0,5
2023-08,1,19,223,163,385,500,57,104,0,2
2023-09,0,13,195,172,360,504,57,90,0,10
2023-10,3,12,230,148,391,573,65,159,0,10
2023-11,0,15,194,168,372,490,61,83,0,8
2023-12,0,13,172,226,487,485,32,99,0,5
2024-01,0,17,302,180,353,518,42,60,0,10
2024-02,0,27,230,164,385,581,49,59,0,15
2024-03,0,10,203,271,704,631,47,67,1,8
2024-04,0,16,245,222,553,804,59,99,0,33
2024-05,1,23,219,321,610,1417,138,191,3,24
2024-06,0,30,161,159,616,633,71,59,0,12
2024-07,0,16,251,177,485,674,78,55,0,12
2024-08,1,30,166,271,407,675,89,52,1,8
2024-09,0,30,207,147,320,456,78,47,1,10
2024-10,0,31,290,267,682,646,94,69,0,6
2024-11,0,27,247,245,780,932,113,112,0,11
2024-12,0,21,126,238,716,544,96,42,0,14
2025-01,0,32,313,248,1088,613,123,75,0,14
2025-02,1,21,223,212,609,592,86,58,0,10
2025-03,1,34,283,314,812,638,81,44,0,6
2025-04,0,25,194,398,815,613,78,35,0,8
2025-05,1,20,203,414,580,614,75,77,0,8
2025-06,2,21,109,437,672,568,86,48,0,13
2025-07,1,28,215,420,378,726,68,62,0,17
2025-08,2,39,201,321,450,796,69,91,0,11
2025-09,1,40,234,361,616,762,84,91,2,18
2025-10,0,36,246,309,639,743,89,77,0,20
2025-11,0,49,247,258,404,635,79,66,1,7
2025-12,3,45,269,282,768,928,98,91,0,23
2026-01,0,40,365,244,570,863,84,70,0,23
2026-02,0,55,350,273,609,1153,101,91,0,14
2026-03,0,50,490,463,632,1619,133,109,1,34
2026-04,2,44,214,287,369,1067,88,63,0,20
